"STOCK.CODE","STOCK.NAME","CAT","ADVICE.TYPE","FISHERIES.GUILD","SPECIES.ID","SPECIES.NAME"
"fle-2628","Flounder in Subdivisions 26 and 28 (Eastern Gotland and Gulf of Gdansk)",3,"PA","benthic","FLE","Platichthys flesus"
"fle-2732","Flounder in Subdivisions 27 and 29 to 32 (Northern Baltic Sea)",3,"PA","benthic","FLE","Platichthys flesus"
"nep-oth-6a","Norway lobster (Nephrops spp.) in Division VIa, outside the Functional Units (West of Scotland)",5,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-oth-7","Norway lobster (Nephrops spp.) in Subarea VII, outside the Functional Units (Southern Celtic Seas, Southwest of Ireland)",5,"PA","crustacean","NEP","Nephrops norvegicus"
"ang-ivvi","Anglerfish (Lophius piscatorius and L. budegassa) in Subareas IV, VI and Division IIIa (North Sea, Rockall and West of Scotland, Skagerrak and Kattegatt)",3,"PA","benthic","ANG","Lophiidae"
"dab-nsea","Dab in Subarea IV and Division IIIa",3,"PA","benthic","DAB","Limanda limanda"
"fle-nsea","Flounder in Division IIIa and Subarea IV",3,"PA","benthic","FLE","Platichthys flesus"
"gug-347d","Grey gurnard in Subarea IV (North Sea) and Divisions VIId (Eastern Channel) and IIIa (Skagerrak - Kattegat)",3,"PA","demersal","GUG","Eutrigla gurnardus"
"had-7b-k","Haddock in Divisions VIIb,c,e-k",1,"MSY","demersal","HAD","Melanogrammus aeglefinus"
"had-iris","Haddock in Division VIIa (Irish Sea)",3,"PA","demersal","HAD","Melanogrammus aeglefinus"
"had-rock","Haddock in Division VIb (Rockall)",1,"MSY","demersal","HAD","Melanogrammus aeglefinus"
"her-irls","Herring in Division VIIa South of 52° 30’ N and VIIg,h,j,k (Celtic Sea and South of Ireland)",1,"MSY","pelagic","HER","Clupea harengus"
"her-nirs","Herring in Division VIIa North of 52° 30’ N (Irish Sea)",1,"MSY","pelagic","HER","Clupea harengus"
"lem-nsea","Lemon sole in Subarea IV and Divisions IIIa and VIId",3,"PA","benthic","LEM","Microstomus kitt"
"nep-10","Nephrops in Division IVa (Noup, FU 10)",4,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-11","Nephrops in Division VIa (North Minch, FU 11)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-12","Nephrops in Division VIa (South Minch, FU 12)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-13","Nephrops in the Firth of Clyde + Sound of Jura (FU 13)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-14","Nephrops in Division VIIa (Irish Sea East, FU 14)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-15","Nephrops in Division VIIa (Irish Sea West, FU 15)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-16","Nephrops in Division VIIb,c,j,k (Porcupine Bank, FU 16)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-17","Nephrops in Division VIIb (Aran Grounds, FU 17)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-19","Nephrops in Division VIIa,g,j (South East and West of IRL, FU 19)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-2021","Nephrops in the FU 20 (Labadie) and FU 21 (Jones and Cockburn)",4,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-22","Nephrops in the Smalls (FU 22)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"nep-32","Nephrops in Division IVa (Norwegian Deeps, FU 32)",4,"PA","crustacean","NEP","Nephrops norvegicus"
"nep-7","Nephrops in Division IVa (Fladen Ground, FU 7)",1,"MSY","crustacean","NEP","Nephrops norvegicus"
"ple-7b-c","Plaice in Division VIIb,c (West of Ireland)",6,"PA","benthic","PLE","Pleuronectes platessa"
"ple-7h-k","Plaice in Divisions VIIh-k (Southwest of Ireland)",3,"PA","benthic","PLE","Pleuronectes platessa"
"ple-celt","Plaice in Divisions VIIf,g (Celtic Sea)",3,"PA","benthic","PLE","Pleuronectes platessa"
"ple-echw","Plaice in Division VIIe (Western Channel)",3,"PA","benthic","PLE","Pleuronectes platessa"
"ple-iris","Plaice in Division VIIa (Irish Sea)",3,"PA","benthic","PLE","Pleuronectes platessa"
"ple-nsea","Plaice Subarea IV (North Sea)",1,"MP","benthic","PLE","Pleuronectes platessa"
"pol-celt","Pollack in Subareas VI and VII (Celtic Sea and West of Scotland)",4,"PA","demersal","POL","Pollachius pollachius"
"pol-nsea","Pollack in Subarea IV and Division IIIa",5,"PA","demersal","POL","Pollachius pollachius"
"raj-celt","Other skates and rays in Subareas VI and VII (excluding VIId)",6,"PA","elasmobranch","RAJ","Rajidae"
"rng-5b67","Roundnose grenadier (Coryphaenoides rupenstris) in Subareas VI and VII, and Divisons Vb and XIIb",1,"MSY","demersal","RNG","Coryphaenoides rupestris"
"sai-3a46","Saithe in Subarea IV (North Sea) Division IIIa West (Skagerrak) and Subarea VI (West of Scotland and Rockall)",1,"MP","demersal","SAI","Pollachius virens"
"san-scow","Sandeel in Division VIa",6,"PA","demersal","SAN","Ammodytes spp"
"sol-7b-c","Sole in Division VIIb, c (West of Ireland)",6,"PA","benthic","SOL","Solea solea"
"sol-7b-c","Sole in Division VIIb, c (West of Ireland)",6,"PA","benthic","SOL","Solea spp"
"sol-7h-k","Sole in Divisions VIIh-k (Southwest of Ireland)",3,"PA","benthic","SOL","Solea solea"
"sol-7h-k","Sole in Divisions VIIh-k (Southwest of Ireland)",3,"PA","benthic","SOL","Solea spp"
"sol-celt","Sole in Divisions VIIf, g (Celtic Sea)",1,"MSY","benthic","SOL","Solea solea"
"sol-celt","Sole in Divisions VIIf, g (Celtic Sea)",1,"MSY","benthic","SOL","Solea spp"
"sol-echw","Sole in Division VIIe (Western Channel)",1,"MSY","benthic","SOL","Solea solea"
"sol-echw","Sole in Division VIIe (Western Channel)",1,"MSY","benthic","SOL","Solea spp"
"sol-iris","Sole in Division VIIa (Irish Sea)",1,"MSY","benthic","SOL","Solea solea"
"sol-iris","Sole in Division VIIa (Irish Sea)",1,"MSY","benthic","SOL","Solea spp"
"sol-nsea","Sole in Subarea IV (North Sea)",1,"MP","benthic","SOL","Solea solea"
"sol-nsea","Sole in Subarea IV (North Sea)",1,"MP","benthic","SOL","Solea spp"
"spr-celt","Sprat in Subarea VI and Divisions VIIa-c and f-k (Celtic Sea and West of Scotland)",5,"PA","pelagic","SPR","Sprattus sprattus"
"spr-ech","Sprat in Divisions VIId,e",3,"PA","pelagic","SPR","Sprattus sprattus"
